CharacterName|WikiLink
Fiona Belmont|Fiona_Belmont
Bem|Bem
Kajol Bhatt|Kajol_Bhatt
Betty Bickering|Betty_Bickering
Hugh Biggs|Hugh_Biggs
Sally Birchgrove|Sally_Birchgrove
Mike Boon|Mike_Boon
Derek (Wizard Card Collectors' Club)|Derek_(Wizard_Card_Collectors%27_Club)
Unidentified Gryffindor boy|Unidentified_Gryffindor_boy
Boy 2|Boy_2
Unidentified Gryffindor boy's friend|Unidentified_Gryffindor_boy%27s_friend
Justine Britnell|Justine_Britnell
Lavender Brown|Lavender_Brown
Cadogan|Cadogan
Richard Carter|Richard_Carter
Stephen Challock|Stephen_Challock
Polly Chapman|Polly_Chapman
Jason Charmer|Jason_Charmer
Liza Cherks|Liza_Cherks
Nina Chibbar|Nina_Chibbar
Brian Cinderford|Brian_Cinderford
Iain Claverdon|Iain_Claverdon
Andrew Cleveley|Andrew_Cleveley
Rachael Codnor|Rachael_Codnor
Angelica Cole|Angelica_Cole
Lydia Cooden|Lydia_Cooden
Ritchie Coote|Ritchie_Coote
Ben Copper|Ben_Copper
Muldoon Cragg|Muldoon_Cragg
Colin Creevey|Colin_Creevey
Dennis Creevey|Dennis_Creevey
Winky Crockett (Gryffindor)|Winky_Crockett_(Gryffindor)
Lisa Cullen|Lisa_Cullen
Haley Dakota|Haley_Dakota
Dan|Dan
Jennifer Dawn|Jennifer_Dawn
Alison Denshaw|Alison_Denshaw
Mary Doyle|Mary_Doyle
Fay Dunbar|Fay_Dunbar
Fay Dunbar's friend|Fay_Dunbar%27s_friend
Edward|Edward
Emily (Gryffindor)|Emily_(Gryffindor)
Entrance Hall Gryffindor prefect|Entrance_Hall_Gryffindor_prefect
Tracie Everson|Tracie_Everson
Rosalyn Ewhurst|Rosalyn_Ewhurst
Natalie Fairbourne|Natalie_Fairbourne
Fat Lady|Fat_Lady
Seamus Finnigan|Seamus_Finnigan
Terrence Fogarty|Terrence_Fogarty
Louise Fontwell|Louise_Fontwell
Sam Fraddon|Sam_Fraddon
Hamish Frater|Hamish_Frater
Riley Frazer|Riley_Frazer
Yann Fredericks|Yann_Fredericks
Vicky Frobisher|Vicky_Frobisher
Chris Garland|Chris_Garland
Ethan Gerard|Ethan_Gerard
Girl who tested Fainting Fancie|Girl_who_tested_Fainting_Fancies
Stephen Gould|Stephen_Gould
Rose Granger-Weasley|Rose_Granger-Weasley
Gryffindor boy who fetched Harry Potter|Gryffindor_boy_who_fetched_Harry_Potter
Gryffindor boy who struggled with the Levitation Charm|Gryffindor_boy_who_struggled_with_the_Levitation_Charm
Unidentified Gryffindor girl (IX)|Unidentified_Gryffindor_girl_(IX)
Unidentified Gryffindor member of Dumbledore's Army|Unidentified_Gryffindor_member_of_Dumbledore%27s_Army
Curious Gryffindor Girl|Curious_Gryffindor_Girl
Gryffindor Wizard's Chess champion|Gryffindor_Wizard%27s_Chess_champion
Godric Gryffindor|Godric_Gryffindor
Rubeus Hagrid|Rubeus_Hagrid
David Hamblin|David_Hamblin
Curt Hanger|Curt_Hanger
Kelly Harborne|Kelly_Harborne
Head of Gryffindor House|Head_of_Gryffindor_House
Ryan Henry|Ryan_Henry
Natalie Holkham|Natalie_Holkham
Thelma Holmes|Thelma_Holmes
Geoffrey Hooper|Geoffrey_Hooper
Carl Hopkins|Carl_Hopkins
Lucy Hurst|Lucy_Hurst
Satoru Iida|Satoru_Iida
Erica J.|Erica_J.
Peter James|Peter_James
Ella Jo|Ella_Jo
Nandini Johar|Nandini_Johar
Angelina Johnson|Angelina_Johnson
Peter Jones|Peter_Jones
Lee Jordan|Lee_Jordan
Timothy Justin|Timothy_Justin
Anjali Kapoor|Anjali_Kapoor
Michael Karume|Michael_Karume
Kellah|Kellah
Sage Kelleen|Sage_Kelleen
Jae Kim|Jae_Kim
Jo King (Gryffindor)|Jo_King_(Gryffindor)
R. J. H. King|R._J._H._King
Andrew Kirke|Andrew_Kirke
Toby Lennox (Gryffindor)|Toby_Lennox_(Gryffindor)
Neville Longbottom|Neville_Longbottom
Aamir Loonat|Aamir_Loonat
Trinity Lynn|Trinity_Lynn
Anita Macduff|Anita_Macduff
Pippa Macmillan|Pippa_Macmillan
Hisana Malachela|Hisana_Malachela
Daphne Maldon|Daphne_Maldon
Unidentified Gryffindor seeker|Unidentified_Gryffindor_seeker
Trev Mallory|Trev_Mallory
Marauders|Marauders
Alexis Marie|Alexis_Marie
Gianna Grace Marie|Gianna_Grace_Marie
Kenny Markham|Kenny_Markham
Angus Matlock|Angus_Matlock
Paul Mawdesley|Paul_Mawdesley
McClaggan|McClaggan
Natalie McDonald|Natalie_McDonald
Joe McGee|Joe_McGee
M. G. McGonagall|M._G._McGonagall
Minerva McGonagall|Minerva_McGonagall
Cormac McLaggen|Cormac_McLaggen
Robin McTighe|Robin_McTighe
Michael|Michael
Eloise Midgen|Eloise_Midgen
Nicholas de Mimsy-Porpington|Nicholas_de_Mimsy-Porpington
Miraphora Mina (Hogwarts student)|Miraphora_Mina_(Hogwarts_student)
Ruth Mina|Ruth_Mina
Anna Mirfield|Anna_Mirfield
Raza Mohammad|Raza_Mohammad
Tatsuya Motoyama|Tatsuya_Motoyama
Kieran Muirhead|Kieran_Muirhead
Ismelda Murk's sister|Ismelda_Murk%27s_sister
Roderick Murphy|Roderick_Murphy
Valeria Myriadd|Valeria_Myriadd
Edith Newton|Edith_Newton
Abigail Nicola|Abigail_Nicola
Amber Noel|Amber_Noel
Phelan Noel|Phelan_Noel
David Nolton|David_Nolton
Mallory Norden|Mallory_Norden
Neil Nuts|Neil_Nuts
Aiden O'Connor|Aiden_O%27Connor
Shelagh O'Dowd|Shelagh_O%27Dowd
Rionach O'Neal|Rionach_O%27Neal
Uric Oapley|Uric_Oapley
Sean Ogbourne|Sean_Ogbourne
Remy Olivier|Remy_Olivier
Kate Olney|Kate_Olney
Steven Osterley|Steven_Osterley
Andrew Owly|Andrew_Owly
Thomas Paley|Thomas_Paley
Julie Parkes|Julie_Parkes
Parvati Patil|Parvati_Patil
Jimmy Peakes|Jimmy_Peakes
Peter Pettigrew|Peter_Pettigrew
Adam Pickering|Adam_Pickering
Podric Piles|Podric_Piles
Wayne Portchester|Wayne_Portchester
Fleamont Potter|Fleamont_Potter
James Potter I|James_Potter_I
James Potter II|James_Potter_II
Lily J. Potter|Lily_J._Potter
Lily L. Potter|Lily_L._Potter
Ernest Prang|Ernest_Prang
Sophia Prickett|Sophia_Prickett
Patricia Rakepick|Patricia_Rakepick
Genevieve Ramsey|Genevieve_Ramsey
Neil Randall|Neil_Randall
Demelza Robins|Demelza_Robins
Barry Rochester|Barry_Rochester
Ashley Sanders|Ashley_Sanders
Selina Sapworthy|Selina_Sapworthy
Andrew Saxby|Andrew_Saxby
Roderick Seaton|Roderick_Seaton
Seventh Floor Gryffindor Prefect|Seventh_Floor_Gryffindor_Prefect
Jackson Sheppard|Jackson_Sheppard
Kaori Shimizu|Kaori_Shimizu
Chie Shinohara|Chie_Shinohara
Terry Skeres|Terry_Skeres
Richard Sky|Richard_Sky
Jack Sloper|Jack_Sloper
Andrew Snowy Owl (Gryffindor)|Andrew_Snowy_Owl_(Gryffindor)
Alicia Spinnet|Alicia_Spinnet
Charlie Stainforth|Charlie_Stainforth
Melanie Stanmore|Melanie_Stanmore
Stewart|Stewart
Tobias Stump|Tobias_Stump
Joshua Sturton|Joshua_Sturton
Yuvraj Suri|Yuvraj_Suri
Jason Swann|Jason_Swann
Sujita Tande|Sujita_Tande
Hardik Tandel|Hardik_Tandel
Rahul Tandel|Rahul_Tandel
Emily Taylor|Emily_Taylor
Dean Thomas|Dean_Thomas
Thorin|Thorin
Toad Toazer|Toad_Toazer
Kenneth Towler|Kenneth_Towler
Trio|Trio
Naoki Tsuchiya|Naoki_Tsuchiya
Emily Tyler|Emily_Tyler
Unidentified 1910s Gryffindor Girl (I)|Unidentified_1910s_Gryffindor_Girl_(I)
Unidentified 1910s Gryffindor Girl (II)|Unidentified_1910s_Gryffindor_Girl_(II)
Unidentified card-playing boy|Unidentified_card-playing_boy
Unidentified friend of McClaggan|Unidentified_friend_of_McClaggan
Unidentified Gryffindor beater|Unidentified_Gryffindor_beater
Unidentified Gryffindor boy (II)|Unidentified_Gryffindor_boy_(II)
Unidentified Gryffindor boy that greets Sir Nicholas (I)|Unidentified_Gryffindor_boy_that_greets_Sir_Nicholas_(I)
Unidentified Gryffindor chaser (I)|Unidentified_Gryffindor_chaser_(I)
Unidentified Gryffindor chaser (II)|Unidentified_Gryffindor_chaser_(II)
Unidentified Gryffindor chaser (III)|Unidentified_Gryffindor_chaser_(III)
Unidentified Gryffindor chaser (IV)|Unidentified_Gryffindor_chaser_(IV)
Unidentified Gryffindor Girl (I)|Unidentified_Gryffindor_Girl_(I)
Unidentified Gryffindor girl (VII)|Unidentified_Gryffindor_girl_(VII)
Unidentified Gryffindor Keeper|Unidentified_Gryffindor_Keeper
Unidentified Gryffindor lady|Unidentified_Gryffindor_lady
Unidentified Gryffindor man (II)|Unidentified_Gryffindor_man_(II)
Unidentified Gryffindor man (III)|Unidentified_Gryffindor_man_(III)
Unidentified Gryffindor man (IV)|Unidentified_Gryffindor_man_(IV)
Unidentified Hogwarts students at the Battle of Hogwarts|Unidentified_Hogwarts_students_at_the_Battle_of_Hogwarts
Unidentified petrified Gryffindor girl|Unidentified_petrified_Gryffindor_girl
Tanner Van Burm|Tanner_Van_Burm
Romilda Vane|Romilda_Vane
Emma Vanity (Gryffindor)|Emma_Vanity_(Gryffindor)
Celestina Warbeck|Celestina_Warbeck
Rose Wax|Rose_Wax
Charles Weasley|Charles_Weasley
Fred Weasley|Fred_Weasley
George Weasley|George_Weasley
Ginevra Weasley|Ginevra_Weasley
Molly Weasley|Molly_Weasley
William Weasley|William_Weasley
Alex Wednesbury|Alex_Wednesbury
Alexander William|Alexander_William
Ruth Winikus|Ruth_Winikus
Nigel Wolpert|Nigel_Wolpert
Oliver Wood|Oliver_Wood
Pauline Yarrow|Pauline_Yarrow
Dinaz Zac|Dinaz_Zac
Giffard Abbott|Giffard_Abbott
Hannah Abbott|Hannah_Abbott
Albert|Albert
Alys|Alys
Tamsin Applebee|Tamsin_Applebee
Arthur (Hufflepuff student)|Arthur_(Hufflepuff_student)
Patrick Bagby|Patrick_Bagby
Martin Beccles|Martin_Beccles
Philip Blagdon|Philip_Blagdon
Susan Bones|Susan_Bones
Wayne Bostock|Wayne_Bostock
Robin Botesdale|Robin_Botesdale
Boy in Study Hall|Boy_in_Study_Hall
Unidentified boy who attended Charm School's father|Unidentified_boy_who_attended_Charm_School%27s_father
Eleanor Branstone|Eleanor_Branstone
Trisha Buttermere|Trisha_Buttermere
Cadwallader|Cadwallader
Diego Caplan|Diego_Caplan
Melvin Catterick|Melvin_Catterick
Owen Cauldwell|Owen_Cauldwell
Poppy Caxton|Poppy_Caxton
Linda Chaddesley|Linda_Chaddesley
Chauncy|Chauncy
Unidentified Choir Member (I)|Unidentified_Choir_Member_(I)
Luke Cholderton|Luke_Cholderton
Martine Copplestone|Martine_Copplestone
Jane Court|Jane_Court
Rohit Das|Rohit_Das
Irene Denholm|Irene_Denholm
Cedric Diggory|Cedric_Diggory
Cedric Diggory's friends|Cedric_Diggory%27s_friends
Thora Dinnet|Thora_Dinnet
Nitin Divekar|Nitin_Divekar
Nicola Dodworth|Nicola_Dodworth
Hufflepuff Duelling Club Captain|Hufflepuff_Duelling_Club_Captain
Craig Dunn|Craig_Dunn
Emily (Hufflepuff)|Emily_(Hufflepuff)
Haruka Endoh|Haruka_Endoh
Annabel Entwhistle|Annabel_Entwhistle
Fat Friar|Fat_Friar
Eustace Fawley|Eustace_Fawley
Grim Fawley|Grim_Fawley
Sullivan Fawley|Sullivan_Fawley
Justin Finch-Fletchley|Justin_Finch-Fletchley
Amelia Fittleworth|Amelia_Fittleworth
Rhonda Fladbury|Rhonda_Fladbury
Herbert Fleet|Herbert_Fleet
Kay Formby|Kay_Formby
Michael Frimley|Michael_Frimley
Trudy Galston|Trudy_Galston
Girl whose quill was taken by Cedric|Girl_whose_quill_was_taken_by_Cedric
Abraham Grimblehawk|Abraham_Grimblehawk
Brendon Halkirk|Brendon_Halkirk
Beatrice Haywood|Beatrice_Haywood
Penny Haywood|Penny_Haywood
Head of Hufflepuff House|Head_of_Hufflepuff_House
Heather|Heather
Gwendoline Hedgeflower|Gwendoline_Hedgeflower
Unidentified Hogwarts Hufflepuff boy who carried a body during the Battle of Hogwarts|Unidentified_Hogwarts_Hufflepuff_boy_who_carried_a_body_during_the_Battle_of_Hogwarts
Wayne Hopkins|Wayne_Hopkins
Unidentified Hufflepuff boy (II)|Unidentified_Hufflepuff_boy_(II)
Hufflepuff boy that blames Harry Potter (I)|Hufflepuff_boy_that_blames_Harry_Potter_(I)
Hufflepuff boy that blames Harry Potter (II)|Hufflepuff_boy_that_blames_Harry_Potter_(II)
Unidentified Hufflepuff boy that greets Sir Nicholas (I)|Unidentified_Hufflepuff_boy_that_greets_Sir_Nicholas_(I)
Unidentified Hufflepuff girl (V)|Unidentified_Hufflepuff_girl_(V)
Unidentified Hufflepuff girl (III)|Unidentified_Hufflepuff_girl_(III)
Unidentified Hufflepuff girl at the Battle of Hogwarts|Unidentified_Hufflepuff_girl_at_the_Battle_of_Hogwarts
Unidentified Hufflepuff girl that greets Sir Nicholas (I)|Unidentified_Hufflepuff_girl_that_greets_Sir_Nicholas_(I)
Hufflepuff Wizard Duelling Champion|Hufflepuff_Wizard_Duelling_Champion
Helga Hufflepuff|Helga_Hufflepuff
Raashid Hussain|Raashid_Hussain
Doris Irlam|Doris_Irlam
James (Hufflepuff Quidditch player)|James_(Hufflepuff_Quidditch_player)
Megan Jones|Megan_Jones
Silvanus Kettleburn|Silvanus_Kettleburn
Matthew Kettletoft|Matthew_Kettletoft
Kevin (2000s Hogwarts student)|Kevin_(2000s_Hogwarts_student)
Hamish Knighton|Hamish_Knighton
Duncan Knottingley|Duncan_Knottingley
Unidentified Hufflepuff lady|Unidentified_Hufflepuff_lady
Leanne|Leanne
Karl Limpley|Karl_Limpley
Chiara Lobosca|Chiara_Lobosca
Artemisia Lufkin|Artemisia_Lufkin
Heidi Macavoy|Heidi_Macavoy
Ernest Macmillan|Ernest_Macmillan
Laura Madley|Laura_Madley
Sisi Makerere|Sisi_Makerere
Unidentified Hufflepuff Seeker|Unidentified_Hufflepuff_Seeker
Unidentified Hufflepuff Substitute Seeker|Unidentified_Hufflepuff_Substitute_Seeker
Male Muggle Studies teacher's student assistant|Male_Muggle_Studies_teacher%27s_student_assistant
Bernard Maltby|Bernard_Maltby
Marilyn|Marilyn
Benjamin McEwen|Benjamin_McEwen
Stuart McKinley|Stuart_McKinley
Michael McManus|Michael_McManus
Dugald McPhail|Dugald_McPhail
Helen Monroe|Helen_Monroe
Gregory Munslow|Gregory_Munslow
Grace Nutley|Grace_Nutley
Harvey O'Brien|Harvey_O%27Brien
Maxine O'Flaherty|Maxine_O%27Flaherty
Hecate Oakham|Hecate_Oakham
Kouta Ohnishi|Kouta_Ohnishi
Madeline Ormskirk|Madeline_Ormskirk
Gillian Ossett|Gillian_Ossett
Anthony Otterburn|Anthony_Otterburn
Manoj Pandit|Manoj_Pandit
Madhumati Parmar|Madhumati_Parmar
Ashish Patel|Ashish_Patel
Bhavana Patel|Bhavana_Patel
Edna Patridge|Edna_Patridge
Sean Peakes|Sean_Peakes
Eldon Pembroke|Eldon_Pembroke
Gareth Pewsey|Gareth_Pewsey
Philip|Philip
Constance Pickering's grandmother|Constance_Pickering%27s_grandmother
Gayle Pocklington|Gayle_Pocklington
Potions Club girl|Potions_Club_girl
Malcolm Preece|Malcolm_Preece
Gladys Prescott|Gladys_Prescott
Sidney Puckeridge|Sidney_Puckeridge
Eglantine Puffett|Eglantine_Puffett
Caroline Purvis|Caroline_Purvis
Anthony Rickett|Anthony_Rickett
Graham Romsey|Graham_Romsey
Lynette Sawley|Lynette_Sawley
Newton Scamander|Newton_Scamander
Theseus Scamander|Theseus_Scamander
Satinder Singh|Satinder_Singh
Zacharias Smith|Zacharias_Smith
Adrian Speke|Adrian_Speke
Pomona Sprout|Pomona_Sprout
Manish Sreenivasan|Manish_Sreenivasan
Stebbins (Potter-era)|Stebbins_(Potter-era)
Grogan Stump|Grogan_Stump
Aki Sugiyama|Aki_Sugiyama
Summerby|Summerby
Summers|Summers
Natsumi Suzuki|Natsumi_Suzuki
Malcolm Swannage|Malcolm_Swannage
Lina Tande|Lina_Tande
Gabriel Tate|Gabriel_Tate
Siobhan Templeton|Siobhan_Templeton
Alistair Thaxted|Alistair_Thaxted
Robyn Thistlethwaite|Robyn_Thistlethwaite
Agatha Thrussington|Agatha_Thrussington
Isabella Tintwistle|Isabella_Tintwistle
Lesley Toddington|Lesley_Toddington
Jessica Tring|Jessica_Tring
Gabriel Truman|Gabriel_Truman
James Tuckett (I)|James_Tuckett_(I)
James Tuckett (II)|James_Tuckett_(II)
Darrel Turner|Darrel_Turner
Unidentified Hufflepuff member of Dumbledore's Army|Unidentified_Hufflepuff_member_of_Dumbledore%27s_Army
Zara Valli|Zara_Valli
Eugene Warmsley|Eugene_Warmsley
Bridget Wenlock|Bridget_Wenlock
Kevin Whitby|Kevin_Whitby
Dora Williams|Dora_Williams
Hengist of Woodcroft|Hengist_of_Woodcroft
Katsuji Yamazaki|Katsuji_Yamazaki
Kousuke Yoshioka|Kousuke_Yoshioka
Rose Zeller|Rose_Zeller
Roland Abberley|Roland_Abberley
Stewart Ackerley|Stewart_Ackerley
Jatin Agarkar|Jatin_Agarkar
Alannis|Alannis
Dennis Aldermaston|Dennis_Aldermaston
Badeea Ali|Badeea_Ali
Pamela Alton|Pamela_Alton
Amanda|Amanda
Yutaka Amano|Yutaka_Amano
Scott Ancrum|Scott_Ancrum
Andrew|Andrew
Becky Arncliffe|Becky_Arncliffe
Millicent Bagnold|Millicent_Bagnold
Arjuna Balaji|Arjuna_Balaji
Yvonne Bampton|Yvonne_Bampton
Marcus Belby|Marcus_Belby
Ethan Bexley|Ethan_Bexley
Trevor Birch|Trevor_Birch
Terry Boot|Terry_Boot
Boy who kept a bezoar in his pocket|Boy_who_kept_a_bezoar_in_his_pocket
Bradley|Bradley
Sage Bragnam|Sage_Bragnam
Mandy Brocklehurst|Mandy_Brocklehurst
Sheila Brooks|Sheila_Brooks
Randolph Burrow|Randolph_Burrow
Eddie Carmichael|Eddie_Carmichael
Chambers|Chambers
Cho Chang|Cho_Chang
Cho Chang's friends|Cho_Chang%27s_friends
Hortense Cooper|Hortense_Cooper
Michael Corner|Michael_Corner
Loretta Cornhill|Loretta_Cornhill
Daisy Corran|Daisy_Corran
Chester Davies|Chester_Davies
Roger Davies|Roger_Davies
Helen Dawlish|Helen_Dawlish
Nanette Desford|Nanette_Desford
Shruti Dev|Shruti_Dev
Ananyo Dhillon|Ananyo_Dhillon
Nathaniel Douglas|Nathaniel_Douglas
Brennan Doyle|Brennan_Doyle
Felicity Eastchurch|Felicity_Eastchurch
Marietta Edgecombe|Marietta_Edgecombe
Andre Egwu|Andre_Egwu
Eliza|Eliza
Harriet Ellesmere|Harriet_Ellesmere
Hilary Erskine|Hilary_Erskine
Margaret Ettington|Margaret_Ettington
Perpetua Fancourt|Perpetua_Fancourt
Fawcett|Fawcett
Marcus Fenwick|Marcus_Fenwick
Patrick Fincher|Patrick_Fincher
Filius Flitwick|Filius_Flitwick
Miranda Flockton|Miranda_Flockton
Basil Fronsac|Basil_Fronsac
Cordelia Gifford|Cordelia_Gifford
Girl with Flowers|Girl_with_Flowers
Maria Glossop|Maria_Glossop
Anthony Goldstein|Anthony_Goldstein
Olivia Green|Olivia_Green
Austin Guthrie|Austin_Guthrie
Noel Harwich|Noel_Harwich
Declan Haworth|Declan_Haworth
Head of Ravenclaw House|Head_of_Ravenclaw_House
Christopher Hemsley|Christopher_Hemsley
Susanna Hesleden|Susanna_Hesleden
Robert Hilliard|Robert_Hilliard
Marcus Hitchin|Marcus_Hitchin
Sanford Humberston|Sanford_Humberston
Jason Huntingdon|Jason_Huntingdon
Shoma Ichikawa|Shoma_Ichikawa
Duncan Inglebee|Duncan_Inglebee
Nola Johnston|Nola_Johnston
Tomoko Kajiwara|Tomoko_Kajiwara
Tulip Karasu|Tulip_Karasu
Andrea Kegworth|Andrea_Kegworth
Sarah Kempston|Sarah_Kempston
Joan Kerridge|Joan_Kerridge
Danny Kershaw|Danny_Kershaw
Ashok Khanna|Ashok_Khanna
Humphrey Kilburn|Humphrey_Kilburn
Noreen Kirkby|Noreen_Kirkby
Biko Kisawahi|Biko_Kisawahi
Unidentified Ravenclaw lady|Unidentified_Ravenclaw_lady
Mark Latchingdon|Mark_Latchingdon
Toby Lennox (Ravenclaw)|Toby_Lennox_(Ravenclaw)
Sue Li|Sue_Li
Gilderoy Lockhart|Gilderoy_Lockhart
Luna Lovegood|Luna_Lovegood
Xenophilius Lovegood|Xenophilius_Lovegood
Roberta Lutterworth|Roberta_Lutterworth
Isobel MacDougal|Isobel_MacDougal
Unidentified Ravenclaw Seeker|Unidentified_Ravenclaw_Seeker
Hugo Mattingley|Hugo_Mattingley
Sterling McCubbin|Sterling_McCubbin
Lorcan McLaird|Lorcan_McLaird
Godfrey Midhurst|Godfrey_Midhurst
Elizabeth Mkapa|Elizabeth_Mkapa
Phillip Montgomery|Phillip_Montgomery
Laverne de Montmorency|Laverne_de_Montmorency
Music classroom monitor|Music_classroom_monitor
Takashi Noda|Takashi_Noda
Banga O'Deluga|Banga_O%27Deluga
Garrick Ollivander|Garrick_Ollivander
Grant Page|Grant_Page
Sherwood Partington|Sherwood_Partington
Padma Patil|Padma_Patil
Swati Pevekar|Swati_Pevekar
Orla Quirke|Orla_Quirke
Quirinus Quirrell|Quirinus_Quirrell
Amina Qureshi|Amina_Qureshi
Asma Rahman|Asma_Rahman
Latisha Randle|Latisha_Randle
Unidentified Ravenclaw boy|Unidentified_Ravenclaw_boy
Unidentified Ravenclaw boy (II)|Unidentified_Ravenclaw_boy_(II)
Unidentified Ravenclaw boy at Hogwarts|Unidentified_Ravenclaw_boy_at_Hogwarts
Ravenclaw Lad|Ravenclaw_Lad
Unidentified Ravenclaw prefect|Unidentified_Ravenclaw_prefect
Unidentified Ravenclaw prefect (II)|Unidentified_Ravenclaw_prefect_(II)
Ravenclaw Wizard Duelling Champion|Ravenclaw_Wizard_Duelling_Champion
Ravenclaw Wizard's Chess champion|Ravenclaw_Wizard%27s_Chess_champion
Helena Ravenclaw|Helena_Ravenclaw
Rowena Ravenclaw|Rowena_Ravenclaw
Raymond|Raymond
Rebecca|Rebecca
Yolanda Reedham|Yolanda_Reedham
Maisy Reynolds|Maisy_Reynolds
Hemani Roshan|Hemani_Roshan
Ophelia Rushden|Ophelia_Rushden
Jason Samuels|Jason_Samuels
Secret student sweetshop manager|Secret_student_sweetshop_manager
Omar Shaw|Omar_Shaw
Alannis Shepley|Alannis_Shepley
Kim Sheringham|Kim_Sheringham
Arman Shettigar|Arman_Shettigar
Justin Steele|Justin_Steele
Hazel Stickney|Hazel_Stickney
Geoffrey Stradbroke|Geoffrey_Stradbroke
Arnold Streeton|Arnold_Streeton
Jeremy Stretton|Jeremy_Stretton
Lewis Thorverton|Lewis_Thorverton
Sybill Trelawney|Sybill_Trelawney
Sachin Tripathy|Sachin_Tripathy
Miyuki Tsuji|Miyuki_Tsuji
Marcus Turner|Marcus_Turner
Lisa Turpin|Lisa_Turpin
Unidentified Ravenclaw black girl during the Battle of Hogwarts|Unidentified_Ravenclaw_black_girl_during_the_Battle_of_Hogwarts
Unidentified Ravenclaw fourth years|Unidentified_Ravenclaw_fourth_years
Unidentified Ravenclaw Girl during the Battle of Hogwarts|Unidentified_Ravenclaw_Girl_during_the_Battle_of_Hogwarts
Unidentified Ravenclaw member of Dumbledore's Army|Unidentified_Ravenclaw_member_of_Dumbledore%27s_Army
